id,이름,아이콘,직업,최대,효과1,값1,효과2,값2,효과3,값3,설명,자세한설명,기타
thorn_mail,가시 갑옷,🌵,용사,4,가시 반사(방어력 기준),0.25,,,,,맞을 때마다 방어력의 25%를 그대로 되돌려 준다,갑옷에 돋친 가시. 때린 쪽이 다친다. 방어력이 높을수록 아프게 되돌아간다.,
unbreakable,불굴의 심장,💗,용사,4,최대 HP 배율,0.25,,,,,최대 HP +25% (4단계면 두 배),네 단계를 모두 찍으면 최대 HP가 정확히 두 배가 된다. 오래 버티는 싸움의 핵심.,
battle_sense,전투 본능,🛡,용사,5,방어력 → 공격력 전환,0.08,,,,,랭크마다 방어력의 8%가 공격력에 더해진다,막는 자세 그대로 되받아친다. 방어구를 두를수록 공격력도 같이 오른다.,
fortress,철벽,🏰,용사,5,방어력,0.15,,,,,방어력 +15%,,
bloodthirst,광폭화,🩸,용사,3,받는 피해 감소,0.04,,,,,랭크마다 받는 피해 4% 감소,"피를 보면 아픔을 잊는다. 예전에는 준 피해를 그대로 빨아먹었는데, 한 벌을 갖추면 맞는 족족 도로 차올라 아예 죽지 않는 캐릭터가 되어서 바꿨다.",
double_slash,연격,⚡,용사,5,2회 공격 확률,0.2,,,,,2회 공격 확률 +20%,,
executioner,처형자,☠,용사,3,치명타 피해,0.5,방어 관통,0.2,,,"치명타 피해 +50%, 방어 관통 +20%",,
iron_will,강철 의지,🪨,용사,5,받는 피해 감소,0.04,,,,,받는 피해 -4%,,
rapid_shot,속사,🏹,사냥꾼,5,2회 공격 확률,0.07,,,,,2회 공격 확률 +7%,,
hawk_eye,매의 눈,🦅,사냥꾼,5,치명타 확률,0.025,,,,,치명타 확률 +2.5%,,
light_step,가벼운 발,🍃,사냥꾼,3,받는 피해 감소,0.05,,,,,랭크마다 받는 피해 -5%,,
wind_walker,바람의 걸음,💨,사냥꾼,5,회피 확률,0.03,,,,,회피 확률 +3%,사냥꾼의 기본 회피(18%) 위에 더해진다.,
hunters_mark,사냥꾼의 표식,🎯,사냥꾼,5,방어 관통,0.05,,,,,방어 관통 +5%,,
foresight,예측 공격,🎯,사냥꾼,3,선제 공격 위력,0.7,,,,,선제 공격 피해 +70%,붙기 전에 쏘는 화살이 더 깊이 박힌다. 화살 수는 그대로 2발이고 한 발 한 발이 세진다. 3포인트면 +210% — 세 배가 조금 넘는다.,
deadeye,죽음의 일격,✦,사냥꾼,5,치명타 피해,0.2,,,,,치명타 피해 +20%,,
focus_hunt,사냥의 집중,🔥,사냥꾼,3,위기의 치명타 피해,0.5,위기 기준 HP,0.4,,,HP 40% 이하일 때 치명타 피해 +50%,,
arcane_bolt,마력 증폭,🔮,마법사,5,마법 피해,0.2,,,,,랭크마다 마법 피해 +20%,마법사의 공격은 전부 마법 피해다. 최종피해가 증가한다. 3단계면 +60%.,
mana_shield,보호막 연장,🛡,마법사,4,보호막 막는 횟수,0.5,,,,,2점마다 보호막이 한 대 더 막는다,쓰러질 피해를 막아 주는 마력 보호막이 **2점마다 한 대씩** 더 막는다. 기본 1대 → 4단계면 3대.,
last_ember,최후의 불꽃,🔥,마법사,5,위기의 치명타 피해,0.25,위기 기준 HP,0.4,,,HP 40% 이하일 때 치명타 피해 +25%,몰릴수록 치명타가 크게 터진다. 보호막과 함께 쓰면 죽기 직전이 가장 무섭다.,
chain_spark,광역 확산,🌩,마법사,3,광역 여파,0.3,,,,,광역 여파 +30%p,주 대상에게 준 피해가 나머지에게 튀는 비율(기본 45%)이 늘어난다.,
flame_burst,마력 충전,💥,마법사,3,충전 폭발 위력,0.3,,,,,충전 폭발 위력 +0.3배,3번째 공격마다 터지는 대폭발이 2.1배에서 최대 3.0배까지.,
arcane_armor,비전 갑주,💠,마법사,5,받는 마법 피해 감소,0.08,,,,,받는 마법 피해 -8%,,
drain_life,생명 전환,🩸,마법사,3,최대 HP,0.08,,,,,랭크마다 최대 HP +8%,마력을 생명으로 돌린다. 예전에는 흡혈이었는데 장비 흡혈과 겹쳐 끝없이 차올랐다.,
meteor,메테오,☄,마법사,4,치명타 피해,0.25,,,,,치명타 피해 +25%,,
